tid,did,name,Comments,Year,License,Potential issue,Domain,Required split,Relevant task,Reference,Original Source ,"Include 
(Andrej)",Explanation (Andrej),"Include 
(Lennart)",Explanation (Lennart),Final Decision ,Benchmark,task_type,status,estimation_procedure,evaluation_measures,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,number_samples,cost_matrix,source_data_labeled,target_feature_event,target_feature_left,target_feature_right,quality_measure,target_value
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/first_principles_tully_fisher/metadata.yaml,first_principles_tully_fisher,"18 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/first_principles_leavitt/metadata.yaml,first_principles_leavitt,"26 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/first_principles_kepler/metadata.yaml,first_principles_kepler,"6 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/parity5/metadata.yaml,parity5,"32 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/iris/metadata.yaml,iris,"150 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/breast_cancer/metadata.yaml,breast_cancer,"286 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,1089,USCrime1978,"47 samples,  too small with 3-fold CV.",1978,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,1027,ESL,"488 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,From WEKA https://gitlab.univ-lorraine.fr/roussana5/weka/-/tree/master/weka/samples/datasets-arie_ben_david? ,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,1028,SWD,"social worker decisions, child abuse use case, source information not fully existing. ",?,,ethical,Tabular,random,Maybe,?,From WEKA https://gitlab.univ-lorraine.fr/roussana5/weka/-/tree/master/weka/samples/datasets-arie_ben_david? ,Unclear,"Source information about features are missing, otherwise seems fine",Unclear,"ethical questionable, and background info questionable. Otherwie seems to fit",No,None-Source,,,,,,,,,,,,,,,,,,,,,,,
,1029,LEV,"lecture evaluations of MBA courses; unclear if same lecture is multiple times or if we have evaluations of several students for the same lecurer; as rating is only observed when features are observed, this does not seem to be a predictive task. Four features and all possible combinations are in the dataset (repeatedly)",?,,"grouped data, non-predictive task, trivial",Tabular,random or grouped,No,?,From WEKA https://gitlab.univ-lorraine.fr/roussana5/weka/-/tree/master/weka/samples/datasets-arie_ben_david? ,No,Trivial as all feature combinations are in the data,No,not a predictive task with the given data,No,Scientific Discovery,,,,,,,,,,,,,,,,,,,,,,,
,1030,ERA,"academic decision-making experiment was collected during MBa course, again grouped judgement data where it is unclear in how far judges appear multiple times ",?,,"groupe data, non-predictive task",Tabular,random or grouped,Unclear,?,From WEKA https://gitlab.univ-lorraine.fr/roussana5/weka/-/tree/master/weka/samples/datasets-arie_ben_david? ,No,Not a predictive task,No,not a predictive task,No,Scientific Discovery,,,,,,,,,,,,,,,,,,,,,,,
,1096,FacultySalaries,"50 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,1191,BNG(pbc),"likely simulated data with, BNG = Bayesian Network Generated for data streams from https://link.springer.com/chapter/10.1007/978-3-319-11812-3_28. Modeled based on the pbcseq dataset - so could also be seen as a duplicate",?,,"simulated, missing source information, data streams",?,?,?,?,?,No,Duplicate,No,simulated data streams without source information,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,1193,BNG(lowbwt),see above - Original dataset has only 189 samples,?,,"simulated, missing source information, data streams",?,?,?,?,?,No,too small,No,simulated data streams without source information,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,1196,BNG(pharynx),see above - Original dataset has only 195 samples,?,,"simulated, missing source information, data streams",?,?,?,?,?,No,too small,No,simulated data streams without source information,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,1199,BNG(echoMonths),see above - Original dataset has only 130 samples,?,,"simulated, missing source information, data streams",?,?,?,?,?,No,too small,No,simulated data streams without source information,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,1201,BNG(breastTumor),see above - Original dataset has only 286 samples,?,,"simulated, missing source information, data streams",?,?,?,?,?,No,too small,No,simulated data streams without source information,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,1203,BNG(pwLinear),see above - Original dataset has only 200 samples,?,,"simulated, missing source information, data streams",?,?,?,?,?,No,too small,No,simulated data streams without source information,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,192,vineyard,"52 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,210,cloud,"108 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,218,house_8L,Duplicate with house 8H or House 16?,?,,?,?,?,?,?,?,No,duplicate,No,duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,228,elusage,"55 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,229,pwLinear,"200 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,230,machine_cpu,"209 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,561,cpu,"209 samples,  too small with 3-fold CV.
Seems to be somehow related to  other CPUs datasets",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,485,analcatdata_vehicle,"48 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,519,vinnie,"380 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,523,analcatdata_neavote,"100 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,527,analcatdata_election2000,"67 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,542,pollution,"60 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,556,analcatdata_apnea2,"475 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,557,analcatdata_apnea1,"475 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,560,bodyfat,"252 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,659,sleuth_ex1714,"47 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,663,rabe_266,"120 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,665,sleuth_case2002,"147 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,678,visualizing_environmental,"111 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,687,sleuth_ex1605,"62 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,690,visualizing_galaxy,"323 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,695,chatfield_4,"235 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,706,sleuth_case1202,"93 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,712,chscase_geyser1,"222 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/Hill_Valley_with_noise/metadata.yaml,Hill_Valley_with_noise,"simulated data, likely duplicate with hill-valley",?,,?,?,?,?,?,rel 10.24432/C5JC8P,No ,duplicate,,"Duplicate, artifical",No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,8,liver-disorders,"345 samples, too small with 3-fold CV.

has a problematic variable, see OpenML description ",1990,,problematic variable,Tabular,random,Maybe,10.24432/C54G67,10.24432/C54G67,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,472,lupus,"87 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,164,molecular-biology_promoters,"106 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,299,libras_move,"360 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/Hill_Valley_without_noise/metadata.yaml,Hill_Valley_without_noise,"simulated data, likely duplicate with hill-valley",?,,?,?,?,?,?,rel 10.24432/C5JC8P,No,Duplicate,No,"Duplicate, artifical",No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/agaricus_lepiota/metadata.yaml,agaricus_lepiota,Duplicate of mushrroom dataset (10.24432/C5959T),?,,?,?,?,?,10.24432/C5959T,10.24432/C5959T,No,Duplicate,No,Duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/allbp/metadata.yaml,allbp,Duplicate of subset of Thyroid 10.24432/C5D010,?,,?,?,?,?,?,?,No,Duplicate,No,Duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/allhyper/metadata.yaml,allhyper,Duplicate of subset of Thyroid 10.24432/C5D010,?,,?,?,?,?,?,?,No,Duplicate,No,Duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/allhypo/metadata.yaml,allhypo,Duplicate of subset of Thyroid 10.24432/C5D010,?,,?,?,?,?,?,?,No,Duplicate,No,Duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/allrep/metadata.yaml,allrep,Duplicate of subset of Thyroid 10.24432/C5D010,?,,?,?,?,?,?,?,No,Duplicate,No,Duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_aids/metadata.yaml,analcatdata_aids,"50 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_asbestos/metadata.yaml,analcatdata_asbestos,"83 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_bankruptcy/metadata.yaml,analcatdata_bankruptcy,"50 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_boxing1/metadata.yaml,analcatdata_boxing1,"120 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_boxing2/metadata.yaml,analcatdata_boxing2,"132 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_creditscore/metadata.yaml,analcatdata_creditscore,"100 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_cyyoung8092/metadata.yaml,analcatdata_cyyoung8092,"97 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_cyyoung9302/metadata.yaml,analcatdata_cyyoung9302,"92 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_fraud/metadata.yaml,analcatdata_fraud,"42 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_germangss/metadata.yaml,analcatdata_germangss,"400 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_happiness/metadata.yaml,analcatdata_happiness,"60 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_japansolvent/metadata.yaml,analcatdata_japansolvent,"52 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/analcatdata_lawsuit/metadata.yaml,analcatdata_lawsuit,"264 samples,  too small with 3-fold CV.",2003,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/ann_thyroid/metadata.yaml,ann_thyroid,Duplicate of subset of Thyroid 10.24432/C5D010,?,,?,?,?,?,?,?,No,Duplicate,No,Duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/appendicitis/metadata.yaml,appendicitis,"106 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/auto_insurance_losses/metadata.yaml,auto_insurance_losses,"164 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/auto_insurance_price/metadata.yaml,auto_insurance_price,"201 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/auto_insurance_symboling/metadata.yaml,auto_insurance_symboling,"205 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/backache/metadata.yaml,backache,"180 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/banana/metadata.yaml,banana,"""This is an artificial dataset where instances belong to several clusters
  with a banana shape.""",2011,,"artifical data, not a predictive task",Tabular,random,No,"Alcalá-Fdez J, Fernández A, Luengo J, Derrac J, García S, Sanchez L,
  et al. KEEL Data-Mining Software Tool: Data Set Repository, Integration of Algorithms
  and Experimental Analysis Framework. J Multiple Valued Log Soft Comput. 2011;17:
  255–287.'","Alcalá-Fdez J, Fernández A, Luengo J, Derrac J, García S, Sanchez L,
  et al. KEEL Data-Mining Software Tool: Data Set Repository, Integration of Algorithms
  and Experimental Analysis Framework. J Multiple Valued Log Soft Comput. 2011;17:
  255–287.'",No,Artificial,No ,"clusterting data, not a predictive task, artifical",No,Artificial/Simulated,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/biomed/metadata.yaml,biomed,"209 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/calendarDOW/metadata.yaml,calendarDOW,"399 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/clean1/metadata.yaml,clean1,"476 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/clean2/metadata.yaml,clean2,Duplicate of musk data (10.24432/C51608),?,,?,?,?,?,?,?,No,Duplicate,No,Duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/coil2000/metadata.yaml,coil2000,Duplicate of 10.24432/C5630S (see below); but with a mismatch in terms of samples ,?,,?,?,?,?,?,?,No,Duplicate,No,Duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/confidence/metadata.yaml,confidence,"72 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/congressional_voting_records/metadata.yaml,congressional_voting_records,"435 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/corral/metadata.yaml,corral,"160 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/dermatology/metadata.yaml,dermatology,"366 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/dis/metadata.yaml,dis,Duplicate with Thyroid dataset (10.24432/C5D010) see description.,?,,?,?,?,?,?,?,No,Duplicate,No,Duplicate,No,Duplicate,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/ecoli/metadata.yaml,ecoli,"327 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/first_principles_absorption/metadata.yaml,first_principles_absorption,"14 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/flags/metadata.yaml,flags,"178 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/glass2/metadata.yaml,glass2,"163 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/haberman/metadata.yaml,haberman,"306 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/hayes_roth/metadata.yaml,hayes_roth,"160 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/heart_disease_cleveland/metadata.yaml,heart_disease_cleveland,"303 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/heart_disease_hungarian/metadata.yaml,heart_disease_hungarian,"294 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/heart_disease_va_long_beach/metadata.yaml,heart_disease_va_long_beach,"200 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/heart_disease_zurich/metadata.yaml,heart_disease_zurich,"123 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/hepatitis/metadata.yaml,hepatitis,"155 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/horse_colic_lesion_type/metadata.yaml,horse_colic_lesion_type,"368 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/horse_colic_outcome/metadata.yaml,horse_colic_outcome,"366 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/horse_colic_surgery/metadata.yaml,horse_colic_surgery,"368 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/ionosphere/metadata.yaml,ionosphere,"351 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/labor/metadata.yaml,labor,"57 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/led7/metadata.yaml,led7,"No info at all. Could be artificial and related to LED24, see https://weka.sourceforge.io/doc.stable/weka/datagenerators/classifiers/classification/LED24.html. #Trivial as only 7 binary features and 3200 samples - all possible values likely covered",?,,generated (image data?),?,unclear,Maybe,"L. Breiman J.H. Friedman R.A. Olshen, C.J. Stone (1984). Classification and Regression Trees. Belmont, California. URL http://www.ics.uci.edu/~mlearn/databases/led-display-creator/.",https://weka.sourceforge.io/doc.stable/weka/datagenerators/classifiers/classification/LED24.html and https://github.com/EpistasisLab/pmlb/tree/master/datasets/led24,No,Trivial or even artificial,No,Not enough source information and likely artifical,No,Artificial/Simulated,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/lymphography/metadata.yaml,lymphography,"148 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/mux6/metadata.yaml,mux6,"128 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/new_thyroid/metadata.yaml,new_thyroid,"215 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/nikuradse_1/metadata.yaml,nikuradse_1,"362 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/nikuradse_2/metadata.yaml,nikuradse_2,"362 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/penguins/metadata.yaml,penguins,"344 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/postoperative_patient_data/metadata.yaml,postoperative_patient_data,"88 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/prnn_crabs/metadata.yaml,prnn_crabs,"200 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
,https://github.com/EpistasisLab/pmlb/blob/master/datasets/prnn_synth/metadata.yaml,prnn_synth,"250 samples,  too small with 3-fold CV.",?,,?,?,?,?,?,?,No,too small,No,too small,No,Tiny data,,,,,,,,,,,,,,,,,,,,,,,
